Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1511.64,6200.19,607.758,7.17E+07,72258.1,0.0601822
2208.65,4874.44,647.647,1.07E+08,126701,0.0909642
2204,4595.73,643.722,1.06E+08,126025,0.0869699
2082.76,4327.37,602.006,8.18E+07,90783,0.0525392
1885.18,4602.03,631.587,9.15E+07,105598,0.0761665
1775.57,5912.31,609.546,7.77E+07,81252.8,0.060011
1892.94,4184.61,603.701,7.98E+07,89170,0.0534953
1304.91,3919.79,644.508,7.95E+07,93113.3,0.0838546
1569.69,3605.37,647.075,9.24E+07,111964,0.0791661
2172.65,5581.8,626.687,9.36E+07,103812,0.0725883
1608.4,5263.73,610.066,7.49E+07,79682.6,0.0605928
1915.6,4502.27,619.386,8.71E+07,98981.5,0.0655851
2221.12,5275.97,614.277,8.93E+07,98142.9,0.0616633
1856.18,3869.9,642.855,9.92E+07,119931,0.0815924
1629.59,5549.53,605.476,7.36E+07,76744.2,0.0575278
1688.53,4101.42,619.083,8.24E+07,94704.1,0.0643996
1318.1,3287.96,633.918,7.98E+07,95503.6,0.066505
1783.22,5026.08,628.909,8.63E+07,97109.8,0.075408
1237.34,3600.02,624.221,7.24E+07,83645.6,0.0655565
1971.79,5800.48,629.898,8.99E+07,98683.8,0.0764646
1764.96,6169.71,635.882,8.62E+07,92952.7,0.0834995
1279.65,4125.99,641.469,7.71E+07,88837.7,0.0842397
1773.04,5652.98,632.176,8.61E+07,94495.4,0.0797859
2304.58,4168.47,618.242,9.52E+07,110091,0.0654423
1935.2,5997.7,613.822,8.27E+07,87359.8,0.0626372
2328.01,3348.84,646.616,1.16E+08,140032,0.153462
1678.99,3999.73,635.408,8.94E+07,105749,0.0759645
1605.68,3865.62,643.33,9.11E+07,108441,0.0802501
1514.49,5711.26,613.438,7.34E+07,76664.2,0.0647487
2206.93,3644.41,614.388,9.22E+07,107870,0.0633588
2186.72,4419.5,647.234,1.09E+08,130604,0.0895796
1532,6053.82,639.883,8.11E+07,86927.5,0.0887067
1801.74,3281.86,624.14,9.08E+07,109176,0.0683611
1582.49,3230.21,608.87,7.80E+07,91243,0.0550318
2326.97,6071.32,631.105,9.78E+07,107788,0.076463
1412.23,4769.21,614.045,7.21E+07,78164.8,0.064187
2037.64,6313.7,645.934,9.72E+07,107051,0.0917834
1332.65,6008.82,618.545,7.00E+07,71499.1,0.0705576
2150.87,5453.44,623.137,9.16E+07,101574,0.0695576
2151.96,5500.16,621.062,9.05E+07,99939.6,0.0678484
1575.88,4826.36,620.487,7.82E+07,86537.7,0.0685727
1224.35,3661.3,623.248,7.15E+07,82588.6,0.0658145
1700.1,5122.39,637.242,8.72E+07,98223.2,0.0836441
2147.29,4804.16,613.993,8.86E+07,98670.4,0.0613029
2266.14,5759.09,649.82,1.06E+08,122142,0.09446
1927.98,6124.71,644.559,9.39E+07,103762,0.0910964
1750.53,3823.77,609.158,8.02E+07,92001.1,0.0567852
1634.89,4595.07,643.767,8.87E+07,103321,0.0872023
1368.67,5527.67,601.458,6.71E+07,67799.2,0.0559663
1674.01,5237.7,602.408,7.36E+07,77823.4,0.0545029
1403.17,3671.11,629.528,7.95E+07,93924.5,0.0690338
1690.27,3936.96,614.703,8.13E+07,93437.9,0.0606504
1297.36,6265.75,633.469,7.24E+07,74582.4,0.0834119
1902.49,5675.21,603.003,7.82E+07,81695,0.0539457
1550.82,4479.67,611.696,7.52E+07,83339.9,0.0605439
2219.37,4750,634.026,1.01E+08,116877,0.0784493
2226.93,3814.62,644.686,1.11E+08,136612,0.090824
2131.97,4314.59,616.308,9.03E+07,103780,0.0630485
1270.12,5476.9,605.969,6.55E+07,67252.1,0.0599224
1444.37,5330.03,612.144,7.18E+07,75419.1,0.063494
1721.07,3225.92,629.267,9.15E+07,110988,0.0708482
1870.15,4785.53,627.755,8.88E+07,100726,0.0734749
1475.02,3897.62,608.587,7.36E+07,83140.4,0.0566174
1205.88,3364.28,600.049,6.48E+07,73036.6,0.0490407
2036.36,6328.03,630.22,9.09E+07,97770.7,0.0767522
2376.43,3485.93,648.295,1.18E+08,143686,0.140959
1681.46,5792.22,605.178,7.45E+07,76771.3,0.0569503
1563.81,4838.49,642.208,8.53E+07,97209.2,0.0881114
1454.51,4065.41,629.739,7.99E+07,92298.1,0.0728845
1592.18,4931.46,643.846,8.63E+07,98482.9,0.0899625
2284.51,3879.66,642.846,1.11E+08,135841,0.0894738
1501.57,3779.92,638.765,8.60E+07,102032,0.0762645
1925.18,5732.71,628.355,8.84E+07,96711.7,0.0753638
2275.15,6164.29,600.877,8.34E+07,85808.4,0.0506161
2243.66,6097.68,618.072,9.05E+07,96837.7,0.0650195
1329.09,5299.42,618.028,7.02E+07,74242.1,0.0694909
2173.31,4200.11,606.912,8.60E+07,97490,0.0561436
2167.08,6005.85,613.251,8.69E+07,92064.8,0.0611216
2285.57,3512.38,600.834,8.49E+07,96364.5,0.0537029
2054.88,5059.9,649.031,1.03E+08,119884,0.0929731
1868.76,6332.61,617.564,8.23E+07,85988.8,0.0660894
2003.35,4000.79,600.151,8.00E+07,89684.2,0.0510923
1568.37,4486.53,641.409,8.62E+07,99968.7,0.0849659
1882.92,3388.3,649.943,1.06E+08,131928,0.0975443
1258.21,4413.95,648.763,7.72E+07,88351.5,0.0943731
1611.19,3561.08,610.342,7.84E+07,90541.8,0.0565727
1601.71,4975.35,621.129,7.89E+07,86906.8,0.0694179
2386.36,5379.61,623.932,9.70E+07,108458,0.069686
1555.82,3907.87,642.365,8.85E+07,105586,0.0803479
1675.46,3468.94,605.875,7.81E+07,89875.2,0.054017
2050.57,3420.18,617.674,9.19E+07,108888,0.0662139
1214.89,3543.79,636.422,7.51E+07,88612.9,0.0728487
1802.74,5415.68,648.543,9.34E+07,106078,0.0947113
1640.61,3412.93,648.578,9.68E+07,118764,0.0792391
1806.68,6235.63,615.207,8.03E+07,83388.7,0.0645163
2124.42,4095.13,637.631,1.03E+08,123137,0.0806834
1256.06,4674.22,620.812,6.97E+07,75806.7,0.0709569
2259.63,5048.41,617.785,9.21E+07,102901,0.0645553
2137.84,4541.67,625.13,9.46E+07,109511,0.0704684
1804.61,3846.31,636.946,9.50E+07,113489,0.0767096
1719.08,6293.15,616.616,7.86E+07,81401.8,0.0663053
1740.53,3540.24,635.12,9.36E+07,113081,0.0736103
1247.71,5290.14,639.623,7.28E+07,79081.8,0.08988
1231.96,5547.84,636.547,7.14E+07,75940.5,0.087163
1920.39,4028.44,601.064,7.91E+07,88571.6,0.0519615
1940.3,6075.75,637.448,9.15E+07,100202,0.0840203
1267.8,6114.77,637.873,7.24E+07,75422.7,0.0877456
1875.97,4619.27,646.317,9.78E+07,114588,0.0887893
1940.78,3597.97,643.394,1.04E+08,127081,0.0845594
1522.2,5169.17,620.284,7.63E+07,82537.4,0.0697459
1636.39,3741.5,641.211,9.18E+07,109981,0.0776241
1683.32,3695.18,627.207,8.74E+07,104012,0.0683573
1900.59,5113.6,601.132,7.74E+07,82956.1,0.0524967
2167.5,5761.88,636.101,9.73E+07,108992,0.0816212
1751.45,5437.5,624.308,8.32E+07,90835.5,0.0721846
2231.46,3415.24,608.925,8.93E+07,103795,0.0605756
2228.14,3446.35,627.178,1.01E+08,121556,0.0789377
1415.62,3683.13,603.141,7.04E+07,79727.1,0.0522121
2183.92,4636.67,627.53,9.68E+07,111587,0.0726012
1797.11,4443.64,616.856,8.31E+07,94250.3,0.0637241
2245.48,5090.74,645.781,1.06E+08,124374,0.0896601
2350.16,4515.96,603.758,8.66E+07,96152.7,0.0535529
2121.97,4062.74,630.579,9.92E+07,117444,0.0747434
2370.07,4867.38,612.258,9.15E+07,102083,0.0598929
1485.38,5386.7,634.929,7.94E+07,86971.6,0.0838412
2362.97,5649.36,603.408,8.57E+07,91161.5,0.0528211
1294.12,6391.78,622.197,6.96E+07,69883.7,0.0731248
1680.31,4648.65,623.786,8.25E+07,92886.9,0.070152
1694.7,4605.67,605.141,7.58E+07,82876.4,0.0552677
1643.15,4858.04,634.75,8.49E+07,96537.8,0.0807406
2050.9,5625.57,646.668,9.93E+07,113094,0.0920807
1436.1,5210.35,643.142,8.04E+07,89157.9,0.0916788
1460.67,4775.33,603.985,7.00E+07,74917,0.0559667
1633.84,5396.32,604.764,7.38E+07,77193.4,0.0566029
1736.67,3318.12,638.277,9.59E+07,117677,0.0768791
2347.8,5296.25,604.811,8.67E+07,93200.9,0.0539282
1985.65,3700.96,644.904,1.05E+08,128858,0.0857819
1323.3,5202.57,637.324,7.52E+07,82158.9,0.0871004
2330.63,4683.23,622.054,9.66E+07,110437,0.0682966
1836.03,3305.83,640.193,1.00E+08,123197,0.0843417
1913.36,6263.92,629.661,8.75E+07,93881.4,0.0769767
1706.21,5899.76,626.807,8.23E+07,87869.9,0.0751265
1703.41,3272.8,602.109,7.70E+07,89252,0.0518833
2192.8,3491.52,617.494,9.42E+07,111352,0.0672677
1217.63,4884.34,615.199,6.69E+07,71356.3,0.0669921
2108.03,6336.05,602.523,8.14E+07,82931.6,0.052759
1795.85,4715.36,641.59,9.29E+07,107476,0.085412
1599.97,3974.17,647.313,9.16E+07,109572,0.0841902
2116.3,3812.75,607.133,8.62E+07,98276.6,0.0566425
1493.7,4549.03,638.396,8.25E+07,94660.6,0.0834484
1487.46,3874.87,617.327,7.71E+07,88780.1,0.0624432
2011.32,4475.17,630.313,9.44E+07,110140,0.0743779
1458.14,4472.06,643.477,8.30E+07,95835.3,0.0877049
1991.68,6251.54,615.987,8.42E+07,88328,0.0641299
1843.29,3490.11,626.853,9.23E+07,110954,0.0697654
2353.46,5085.24,641.251,1.07E+08,124204,0.0857553
1509.75,3977.63,626.644,8.09E+07,94052.8,0.0693089
2246.66,3961.4,619.493,9.54E+07,111492,0.0667127
1890.74,3666.42,610.494,8.42E+07,97368.8,0.0578942
2200.64,4756.36,626.933,9.64E+07,110668,0.0721981
1625.29,4137.23,633.364,8.67E+07,101024,0.0756216
1827.45,5969.65,641.548,9.02E+07,99405.4,0.0884419
1548.15,5718.9,600.991,7.07E+07,72031.1,0.0545088
2232.96,6306.06,607.191,8.53E+07,88538.8,0.05616
1486.37,4115.93,637.108,8.34E+07,97348.3,0.0785599
1228.93,6174.31,604.461,6.42E+07,62917.6,0.058941
1859.13,5618.71,635.983,8.97E+07,99999.7,0.0824687
1248.54,3373.79,634.592,7.66E+07,91255.2,0.0682574
2267.02,5333.97,642.738,1.04E+08,120565,0.087019
1273.99,4507.45,603.3,6.57E+07,70195.1,0.0560524
1534.99,4992.49,613.726,7.48E+07,80797.2,0.0638796
2203,3286.21,620.995,9.65E+07,115729,0.0744133
1707.21,4055.57,649.178,9.58E+07,114926,0.0867048
1918.31,4658.72,601.893,7.88E+07,85990.7,0.052463
2053.75,3220.52,605.058,8.46E+07,98388.6,0.0572325
1760.27,3421.69,614.072,8.40E+07,98800.9,0.0596503
1756.56,5755.78,625.057,8.29E+07,89587.6,0.0732991
1834.6,6093.89,638.048,8.89E+07,96930.4,0.0852556
2307.5,3732.11,634.227,1.07E+08,129345,0.0830151
1372.67,4300.48,649.466,8.24E+07,95400.4,0.091819
2286.28,5526.27,632.523,9.90E+07,111664,0.0777832
1677.3,5697.31,649.528,8.89E+07,99393.6,0.0969787
1642.53,3321.03,647.868,9.69E+07,119589,0.0792877
1644.3,3546.98,614.168,8.11E+07,94260.9,0.0591428
1921.96,6217.84,641.163,9.21E+07,100978,0.0878909
1698.61,4170.37,601.349,7.48E+07,83076.3,0.051934
2126.95,5100.21,632.618,9.66E+07,110508,0.0777971
1709.16,3966.79,617.853,8.29E+07,95618.3,0.0628925
2238.44,5849.68,603.882,8.40E+07,88220.2,0.0535468
2161.96,3454.91,632.428,1.03E+08,125231,0.0834129
1464.4,5683.48,647.388,8.15E+07,89637.5,0.0967439
1234.67,4724.51,638.19,7.32E+07,81172.5,0.0870304
2318.48,5744.96,625.67,9.56E+07,105801,0.0711934
1911.3,5482.94,605.037,7.91E+07,83846.5,0.0554705
1338.62,5629.26,632.92,7.37E+07,78641.9,0.0831952
2042.68,5166.14,631.54,9.39E+07,106395,0.0769119
1738.04,3799.75,624.048,8.69E+07,102227,0.0669171
1492.62,6303.3,613.624,7.27E+07,73704.5,0.0649951
1311.54,3473.52,629.563,7.73E+07,90636.1,0.0670859
2056.8,4918.51,649.445,1.04E+08,121612,0.0928255
2334.09,3922.96,645.716,1.15E+08,139622,0.0930095
1340.93,4347.01,636.013,7.71E+07,88071.7,0.0812817
1572.01,6388.84,646.395,8.36E+07,89139.9,0.0949159
1543.96,5692.8,602.772,7.10E+07,72681.3,0.055595
1838.69,5972.36,606.008,7.82E+07,80570.9,0.0571934
1547.04,4540.13,646.209,8.70E+07,100884,0.089797
2068.54,3968.3,621.634,9.31E+07,109078,0.0671791
1998,4893.51,645.591,9.98E+07,116785,0.0895309
1624.25,6322.73,617.239,7.67E+07,78957.5,0.0671255
1519.73,3704.57,640.491,8.73E+07,104546,0.0763671
1363.48,4197.12,601.434,6.79E+07,73773.5,0.0533794
1365.54,3638.99,637.01,8.10E+07,95676,0.0734582
1730.44,5280.09,620.005,8.15E+07,88724.4,0.0683147
1835.15,4489.91,603.936,7.83E+07,86314.8,0.0541416
1593.02,4665.54,619.166,7.86E+07,87680.6,0.0670273
2000.86,4344.83,611.06,8.50E+07,96288.8,0.0587309
1256.84,4173.34,646.878,7.71E+07,89214,0.0899453
1896.63,5554.28,633.342,9.00E+07,99928.6,0.0802486
1832.96,6311.23,603.63,7.70E+07,77757.7,0.0549702
1289.69,5070.77,630.924,7.26E+07,79034,0.0808082
2299.16,3992.7,624.906,9.97E+07,117947,0.0714557
2212.47,6127.19,648.833,1.03E+08,116645,0.093752
1583.98,4872.04,648.219,8.78E+07,100766,0.0937201
2206.65,3905.9,636.784,1.05E+08,127054,0.0815064
2016.95,3996.54,615.313,8.82E+07,101930,0.0620826
2322.31,5180.2,641.116,1.06E+08,122073,0.0855654
1516.22,4842.03,623.86,7.78E+07,86161.8,0.0719073
1667.74,6259.5,623.745,7.97E+07,83355,0.072903
1586.28,4068.38,612.946,7.78E+07,87655.4,0.0600708
1283.58,3975.18,601.572,6.63E+07,72586.3,0.0529348
1630.65,5933.62,631.071,8.14E+07,87373.2,0.0798384
1467.89,5004.84,619.574,7.48E+07,81468.8,0.0690642
1807.37,5825.09,630.716,8.61E+07,93582.3,0.0782611
2393.48,4934.96,613.387,9.22E+07,103001,0.0607638
2389.52,4836.29,625.226,9.90E+07,113405,0.0706753
1259.69,5715.57,611.854,6.67E+07,67556.1,0.0648903
2320.1,4464.42,647.765,1.13E+08,135243,0.0912258
2053.13,6017.23,621.38,8.78E+07,94633.2,0.0685357
1964.84,4534.97,609.853,8.34E+07,92992.5,0.0581213
2152.84,3688.8,628.832,1.00E+08,120138,0.0749757
1596.03,5514.19,619.327,7.76E+07,82914.4,0.0689102
2009.2,5750.25,628.876,9.05E+07,99513.4,0.075335
2329.47,5251.48,612.013,9.01E+07,98675.1,0.0596819
1356.55,6036.8,616.941,7.03E+07,71579.7,0.0685732
1416.91,3312.63,643.669,8.67E+07,105147,0.0716784
1969.73,3932.58,639.287,1.00E+08,121013,0.0804981
1561.02,4324.79,632.089,8.33E+07,96147.6,0.0761694
2086.4,5541.39,649.145,1.02E+08,116618,0.0942688
1771.24,4588.57,630.387,8.77E+07,100940,0.0753704
1999.73,5918.67,607.253,8.11E+07,84987.3,0.0569417
2092.71,5147.16,613.497,8.65E+07,95252.7,0.0615029
2209.61,4366.37,607.689,8.70E+07,97821.1,0.0568013
1852.62,4616.92,630.072,8.99E+07,103329,0.0747336
1956.31,5409.53,624.19,8.79E+07,97130.3,0.071011
1207.05,6019.64,619.769,6.70E+07,67474.9,0.0719209
1864.78,5240.04,631.172,8.90E+07,99608.3,0.0775952
1971.31,3916.31,610.427,8.51E+07,97598.8,0.0581111
2106.31,5376.96,647.72,1.02E+08,117747,0.0923615
2198.08,3516.18,638.926,1.08E+08,132238,0.0921306
1351.73,4951.6,626.58,7.36E+07,80390.9,0.0759934
2026.09,5394.94,642.77,9.78E+07,111250,0.0879085
1880.02,5923.87,633.429,8.87E+07,97190.3,0.0804054
2338.29,5633.45,646.41,1.07E+08,123198,0.0910765
2343.09,3343.86,614.507,9.42E+07,111365,0.0678193
1386.44,5802,636.749,7.61E+07,81492,0.0867983
2315.53,4208.5,603.271,8.62E+07,96801.7,0.0532194
1861.26,4386.94,604.095,7.90E+07,87350.8,0.0537487
1947.87,3689.8,639.664,1.01E+08,123434,0.0803978
2119.73,5905.81,648.132,1.01E+08,114244,0.0930059
1710.25,3774.4,630.865,8.96E+07,106227,0.0712658
2145.16,6109.32,605.567,8.31E+07,86638.5,0.0549813
1274.5,3448.92,619.135,7.27E+07,84425.2,0.0606576
2346.02,5767.24,611.148,8.96E+07,95550.7,0.0590336
1566.25,6117.8,622.831,7.70E+07,80371.1,0.0726022
1933.59,6272.31,608.305,8.02E+07,82895.2,0.0579887
2164.01,4881.88,608.492,8.58E+07,94612.8,0.0570661
2148.51,5961.94,604.966,8.30E+07,86671.8,0.0545367
2333.21,4737.44,619.696,9.51E+07,108253,0.0660023
1924.56,5337.07,636.281,9.23E+07,103934,0.0818984
2190.96,3459.73,622.024,9.69E+07,115777,0.0721108
1358.69,5091.54,648.002,7.91E+07,88668.7,0.0967104
1533.03,5656.46,621.459,7.64E+07,80837.2,0.071815
1562.23,5728.22,608.966,7.34E+07,76119,0.0605142
1251.14,4051.85,636.965,7.50E+07,86443.3,0.0801396
1889.06,6216.81,620.185,8.38E+07,88439,0.0683413
2093.53,3352.33,600.34,8.21E+07,94146.9,0.0531769
1529.63,3925.37,634.816,8.49E+07,99675.9,0.0750212
1246.03,6197.52,629.168,6.98E+07,70962.4,0.079449
2217.77,3589.69,602.3,8.48E+07,96860.9,0.0541846
1976.66,4741.49,646.048,1.00E+08,117926,0.0892257
1983.11,5599.89,600.232,7.85E+07,81905.5,0.0514726
2008.19,4866.24,620.243,8.85E+07,99549.6,0.0669949
2321.35,5995.66,606.168,8.64E+07,90807.7,0.0548713
2326.75,4337.64,634.985,1.06E+08,124946,0.0796811
2395,4627.09,601.764,8.63E+07,94678.4,0.0520558
2189.42,5833.98,626.24,9.32E+07,102279,0.0722564
1647.97,4643.84,624.972,8.23E+07,92739.2,0.0714546
2090.42,4004.78,634.29,1.01E+08,120612,0.0775832
1520.68,6023.09,645.989,8.24E+07,89324.6,0.095248
2032.76,4845.14,604.938,8.18E+07,89313,0.0546529
1613.82,5647.3,629.115,8.07E+07,87606.5,0.0777736
1944.52,4481.51,643.184,9.91E+07,117134,0.0852554
1296.33,3618.55,606.472,6.88E+07,77918.8,0.0542495
1713.59,5944.63,600.39,7.37E+07,74856.6,0.0530081
1236.45,4239.81,640.735,7.48E+07,85410.9,0.0856883
1878.11,5079.04,620.642,8.52E+07,94796.6,0.0677428
2230.53,4976.13,638.42,1.03E+08,119086,0.0826077
1264.16,3647.13,610.925,6.89E+07,78441.2,0.0572725
2281.33,4432.04,619.849,9.51E+07,109410,0.0663309
1892.4,4801.11,642.189,9.56E+07,111240,0.0861075
1204.49,4048.42,630.952,7.19E+07,81662.9,0.0758796
1865.04,5740.42,610.039,8.01E+07,84213.2,0.0598122
2350.99,4105.32,623.334,9.94E+07,116520,0.0702828
1223.16,6137.67,622.242,6.76E+07,68183.3,0.0736451
2397.1,6224,635.206,1.01E+08,111914,0.0797309
2296.32,4722.84,624.053,9.69E+07,111265,0.0695532
1716.9,5149.44,627.27,8.39E+07,93157.4,0.0745072
2290.04,4410.14,637.818,1.06E+08,125659,0.0818638
1668.53,5019.41,639.843,8.72E+07,98937.2,0.0859127
1841.61,3528.62,620.447,8.90E+07,105366,0.0648933
2383.13,4685.07,633.539,1.04E+08,122262,0.078082
1725.22,6245.11,609.743,7.69E+07,78520.4,0.0605582
1227.83,4710.93,606.654,6.51E+07,69115.4,0.0597421
1692.14,5223.92,616.959,7.93E+07,86295.5,0.0658499
1453.43,4583.04,609.645,7.20E+07,78564.3,0.0599966
2345.15,4186.47,627.034,1.02E+08,119162,0.0731217
2132.68,3250.45,618.773,9.40E+07,112539,0.071362
1768.99,5658.54,603.22,7.58E+07,78737.3,0.054758
2020.47,5531.63,626.148,8.98E+07,99403.1,0.0726071
2181.47,6307.92,609.05,8.53E+07,88869.9,0.057746
1881.04,4146.04,603.08,7.93E+07,88795,0.0529696
1928.46,5903.26,613.543,8.24E+07,87227.1,0.0622249
2360.19,3291.06,627.417,1.03E+08,124650,0.0892743
1466.06,3573.13,600.101,7.09E+07,79690.3,0.0498031
1926.91,4342.3,637.501,9.63E+07,113673,0.0798697
1711.86,4388.32,644.482,9.24E+07,108913,0.0860615
1253.74,6001.78,643.08,7.30E+07,76859.6,0.0930999
2257.73,5703.3,636.457,1.00E+08,112442,0.0813084
1746.35,3758.01,622.528,8.69E+07,102073,0.0657649
1984.33,4295.06,636.237,9.76E+07,115525,0.0789766
1462.77,5982.32,621.529,7.42E+07,77335.1,0.0722453
1319.71,5011.11,612.409,6.91E+07,73101.1,0.0641973
2057.66,4132.44,612.208,8.71E+07,99536.1,0.0598221
1295.65,5289.15,642.598,7.53E+07,82198.8,0.0925065
2365.66,3802.96,638.506,1.11E+08,134266,0.0880043
1350.79,3557.65,612.075,7.24E+07,83263.8,0.0571637
2254.04,4563.84,624.381,9.66E+07,111305,0.0699838
1420.59,5585.8,644.759,7.95E+07,86923.4,0.0941347
1931.13,4448.65,644.226,9.91E+07,117522,0.0860262
1646.16,5797.92,647.976,8.74E+07,96849.8,0.0960048
2392.02,5954.23,628.669,9.84E+07,108681,0.0739183
2249.48,3841.69,603.542,8.58E+07,97374.9,0.0543222
1571.44,5858.81,610.231,7.38E+07,76293.4,0.0615309
2342.15,4038.22,649.275,1.17E+08,142317,0.0952713
2309.33,6231.34,644.125,1.03E+08,115624,0.0886599
1684.04,6128.25,606.505,7.51E+07,76291.8,0.0581909
1856.52,3854.95,621.038,8.82E+07,103468,0.0653462
1479.99,3818.22,622.272,7.89E+07,91656.6,0.0655856
2099.83,4142.42,614.113,8.89E+07,101813,0.0613775
2013.72,6195.1,601.929,7.95E+07,81329.8,0.0528808
1590.04,4418.73,621.995,8.01E+07,91126.2,0.0684116
1733.64,4791.04,637.998,8.93E+07,102483,0.0828137
1374.2,5339.3,604.203,6.79E+07,69821.9,0.0575838
1355.97,3499.07,618.317,7.49E+07,87395,0.0605884
1717.78,4283.75,613.693,8.02E+07,90936.9,0.0611582
1336.55,3264.26,616.762,7.47E+07,87636,0.0576217
1457.8,3950.85,628.532,8.00E+07,93276.3,0.070923
1752.46,5643.85,620.882,8.15E+07,87731.5,0.0695814
1462.89,4520.64,625.845,7.75E+07,87309,0.0725417
1981.95,4455.31,623.643,9.05E+07,104246,0.0689574
1450.79,4822.48,637.161,8.01E+07,89942.5,0.0844777
2302.04,5097.02,629.824,9.91E+07,113223,0.0751014
1663.13,6156.81,611.999,7.61E+07,78135.7,0.0628395
2194.65,4818.5,605.942,8.51E+07,93696.8,0.0550893
1653.26,4469.62,607.638,7.62E+07,84355.7,0.0570772
2357.01,6085.49,615.762,9.13E+07,98098.3,0.062717
1714.67,3724.93,640.957,9.44E+07,114008,0.0782308
1275.83,3986.82,616.468,7.02E+07,79279,0.0635137
2269.93,4109.78,635.92,1.06E+08,126387,0.0804811
2339.02,6300.72,629.479,9.71E+07,105939,0.0743693
1273.16,3862.99,614.663,6.99E+07,79305.9,0.0613857
1745.62,3677.29,625.535,8.86E+07,104811,0.0675417
1239.26,5154.91,611.35,6.62E+07,69122.2,0.0644446
1506.61,5218.75,633.056,7.97E+07,87746.7,0.0817183
2135.77,5045.76,636.866,9.89E+07,114184,0.0815053
2130.22,5304.4,604.877,8.32E+07,89103.9,0.0545511
1397.74,3651.55,642.919,8.38E+07,100173,0.0769593
1845.88,5450.26,619.603,8.34E+07,90825,0.0676539
1825.79,4941.59,602.801,7.72E+07,82807.1,0.0536518
1873.3,6028.07,625.478,8.56E+07,91829.6,0.073191
1440.56,4459.26,614.48,7.32E+07,81375.5,0.0633243
1857.98,5340.97,639.787,9.19E+07,104135,0.0858664
1663.53,5185.59,600.668,7.31E+07,76475,0.0529891
2224.43,4700.86,633.247,1.01E+08,117245,0.0775404
1886.03,3345.03,604.263,8.11E+07,94310,0.0542559
1263.48,5443.76,644.19,7.43E+07,80418.4,0.0943747
2041.5,4022.1,622.658,9.29E+07,108979,0.0678795
1784.81,4967.8,632.811,8.81E+07,99855.4,0.0784868
1937.85,4219.93,622.312,8.97E+07,103733,0.0673273
1657.09,6279.33,647.186,8.66E+07,93945.7,0.0954413
2299.6,5357.1,634.699,1.01E+08,115027,0.0795686
1252.18,6237.23,602.194,6.42E+07,62302.9,0.0567483
2205.04,4191.25,647.431,1.11E+08,133605,0.0898852
2377.71,4717.59,643.874,1.11E+08,130719,0.0878479
1875.21,5353.4,619.267,8.41E+07,92239.6,0.0671836
1832.21,5172.53,647.253,9.46E+07,108652,0.0924391
2127.79,4981.44,607.058,8.44E+07,92307.2,0.0559637
2048.51,4637.72,641.849,1.01E+08,118395,0.0848312
2214.47,5505.5,617.261,9.00E+07,98528.7,0.0641011
2373.98,3549.29,615.097,9.53E+07,111549,0.066364
2187.9,6186.53,623.159,9.14E+07,98182.6,0.0695931
2043.87,3567.47,634.472,1.02E+08,123220,0.0796042
1456.01,3303.5,636.374,8.57E+07,103282,0.0687634
2379.02,3982.52,615.745,9.52E+07,110332,0.06398
1965.66,5160.51,638.069,9.47E+07,107954,0.0831316
2046.09,4529.97,610.862,8.56E+07,95764.4,0.0587959
1331.89,5510.67,606.829,6.75E+07,69175.9,0.0601965
1202.34,3429.18,611.576,6.81E+07,77870,0.0563324
1408.32,5873.82,648.097,7.97E+07,86289.4,0.0978562
1540.98,5407.09,622.717,7.71E+07,83051.7,0.0720911
1770.72,4087.45,641.904,9.49E+07,113285,0.0816579
1828.88,5309.18,609.909,7.96E+07,85458.9,0.0595089
1951.74,3496.61,613.331,8.72E+07,102556,0.0607973
2199.4,4498.06,636.057,1.02E+08,120303,0.0798913
2108.89,3607.28,602.651,8.34E+07,95454.2,0.053783
2079.53,5976.56,639.534,9.63E+07,107003,0.0851748
2176.57,4302.62,635.81,1.02E+08,121364,0.0795252
1742.42,4322.45,645.885,9.46E+07,111814,0.0863738
2021.74,3797.22,642.32,1.04E+08,127094,0.083458
1799.17,5284.27,640.547,9.07E+07,102648,0.0868855
2006.29,4778.64,632.997,9.47E+07,109351,0.0776458
1308.04,3831.86,648.97,8.11E+07,95753.4,0.0854919
2077.33,3761.1,626.788,9.71E+07,115540,0.0717951
1789.77,4862.74,633.703,8.90E+07,101208,0.0790594
2074.31,4118.95,641.955,1.04E+08,125270,0.0836788
1484.3,4579.46,603.387,7.08E+07,76359.5,0.0548935
2311.32,4590.55,613.128,9.12E+07,102877,0.0607047
2294.97,5561.22,616.504,9.13E+07,99674,0.0634134
1467.28,3254.05,625.022,8.18E+07,98298.7,0.0630156
1239.82,5191.85,638.625,7.25E+07,78989.5,0.0889812
1387.95,3989.55,625.169,7.65E+07,87827,0.0691678
1419.05,5932.03,623.084,7.35E+07,76645.9,0.0739258
1546.76,4886.95,618.618,7.69E+07,84369.8,0.067588
1499.68,4071.4,602.714,7.14E+07,79339.9,0.0532448
1304.09,5986.89,617.407,6.89E+07,70386.1,0.0694676
2030.17,5843.49,627.643,9.03E+07,98815.8,0.0741646
1537.35,6371.83,621.217,7.60E+07,77631,0.0714227
2112.56,4665.83,645.495,1.04E+08,123211,0.0883457
1353.29,4360.93,641.301,7.91E+07,90701.2,0.0857733
